Studio,Year,Genre1,Total Gross,RottenTomato
Universal,2000,Animation,183704126.0,62.666666666666664
Universal,2000,Biography,125595205.0,84.0
Universal,2000,Comedy,605729450.0,55.6
Universal,2000,Crime,28946615.0,10.0
Universal,2000,Drama,186383519.0,44.5
Universal,2001,Action,617161785.0,45.4
Universal,2001,Adventure,145461722.0,64.0
Universal,2001,Animation,267665011.0,88.0
Universal,2001,Biography,170742341.0,75.0
Universal,2001,Comedy,214627829.0,40.333333333333336
Universal,2001,Drama,103689646.0,37.0
Universal,2002,Action,491252106.0,57.166666666666664
Universal,2002,Adventure,48360547.0,42.0
Universal,2002,Animation,73280117.0,69.0
Universal,2002,Biography,164615351.0,96.0
Universal,2002,Comedy,41385278.0,93.0
Universal,2002,Crime,197604660.0,74.5
Universal,2002,Drama,147074301.0,41.5
Universal,2002,Horror,129128133.0,71.0
Universal,2003,Action,335140843.0,50.25
Universal,2003,Adventure,149611893.0,44.0
Universal,2003,Animation,26483452.0,45.0
Universal,2003,Comedy,556128487.0,55.166666666666664
Universal,2003,Drama,150586271.0,49.0
Universal,2004,Action,354279831.0,66.75
Universal,2004,Animation,602088155.0,61.5
Universal,2004,Biography,75331600.0,80.0
Universal,2004,Comedy,576326169.0,54.8
Universal,2005,Action,307625792.0,56.5
Universal,2005,Animation,193595521.0,55.0
Universal,2005,Biography,124308131.0,70.5
Universal,2005,Comedy,189494362.0,50.333333333333336
Universal,2005,Crime,72708161.0,57.0
Universal,2005,Drama,184449252.0,46.75
Universal,2005,Horror,76231249.0,19.0
Universal,2005,Mystery,57891803.0,79.0
Universal,2006,Action,125964885.0,42.0
Universal,2006,Animation,213380100.0,72.0
Universal,2006,Comedy,301723413.0,31.2
Universal,2006,Crime,88513495.0,86.0
Universal,2006,Drama,230354624.0,78.25
Universal,2007,Action,594254041.0,67.0
Universal,2007,Animation,322719944.0,41.0
Universal,2007,Biography,230057004.0,82.0
Universal,2007,Comedy,420881029.0,35.4
Universal,2007,Drama,80209692.0,69.0
Universal,2008,Action,484109775.0,55.8
Universal,2008,Animation,50877145.0,56.0
Universal,2008,Biography,35739802.0,62.0
Universal,2008,Comedy,398706595.0,61.0
Universal,2008,Horror,52597610.0,45.0
Universal,2009,Adventure,49438370.0,26.0
Universal,2009,Biography,97104620.0,68.0
Universal,2009,Comedy,387402650.0,49.2
